"ネット名";"ネットクラス";"ネット長 (mm)";"ビア カウント";"ビア長さ (mm)";"配線長 (mm)";"ダイの長さ (mm)";"パッド数";"F.Cu (mm)";"B.Cu (mm)";"In1.Cu (mm)";"In2.Cu (mm)";
"/M0_D0_N";"MIPI_100ohm と Default";30.0099;0;0.0000;30.0099;0.0000;2;30.0099;0.0000;0.0000;0.0000;
"/M0_D0_P";"MIPI_100ohm と Default";29.9292;0;0.0000;29.9292;0.0000;2;29.9292;0.0000;0.0000;0.0000;
"/M0_D1_N";"MIPI_100ohm と Default";31.0229;0;0.0000;31.0229;0.0000;2;31.0229;0.0000;0.0000;0.0000;
"/M0_D1_P";"MIPI_100ohm と Default";31.0229;0;0.0000;31.0229;0.0000;2;31.0229;0.0000;0.0000;0.0000;
"/M0_CK_N";"MIPI_100ohm と Default";32.0928;0;0.0000;32.0928;0.0000;2;32.0928;0.0000;0.0000;0.0000;
"/M0_CK_P";"MIPI_100ohm と Default";32.1499;0;0.0000;32.1499;0.0000;2;32.1499;0.0000;0.0000;0.0000;
"/M0_D2_N";"MIPI_100ohm と Default";32.4210;0;0.0000;32.4210;0.0000;2;32.4210;0.0000;0.0000;0.0000;
"/M0_D2_P";"MIPI_100ohm と Default";32.4210;0;0.0000;32.4210;0.0000;2;32.4210;0.0000;0.0000;0.0000;
"/M0_D3_N";"MIPI_100ohm と Default";33.3925;0;0.0000;33.3925;0.0000;2;33.3925;0.0000;0.0000;0.0000;
"/M0_D3_P";"MIPI_100ohm と Default";33.3925;0;0.0000;33.3925;0.0000;2;33.3925;0.0000;0.0000;0.0000;
"/MIPI_GPIO1";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;0.0000;0.0000;
"/MIPI_SCL";"Default";11.7872;0;0.0000;11.7872;0.0000;3;11.7872;0.0000;0.0000;0.0000;
"/USB_ID";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;0.0000;0.0000;
"/FT601_WAKEUP";"Default";33.6435;0;0.0000;33.6435;0.0000;3;33.6435;0.0000;0.0000;0.0000;
"/FT601_RESET";"Default";27.8284;0;0.0000;27.8284;0.0000;3;27.8284;0.0000;0.0000;0.0000;
"/FT601_RXF";"Default";6.8052;0;0.0000;6.8052;0.0000;2;6.8052;0.0000;0.0000;0.0000;
"/K4_IOR22B_40P";"Default";18.3594;0;0.0000;18.3594;0.0000;2;18.3594;0.0000;0.0000;0.0000;
"Net-(U1-AVDD)";"Default";4.6833;2;0.0000;4.6833;0.0000;3;4.6833;0.0000;0.0000;0.0000;
"/FT601_D7";"Default";2.1024;0;0.0000;2.1024;0.0000;2;2.1024;0.0000;0.0000;0.0000;
"/FT601_D6";"Default";2.1024;0;0.0000;2.1024;0.0000;2;2.1024;0.0000;0.0000;0.0000;
"/FT601_D5";"Default";2.1024;0;0.0000;2.1024;0.0000;2;2.1024;0.0000;0.0000;0.0000;
"/FT601_D4";"Default";2.1024;0;0.0000;2.1024;0.0000;2;2.1024;0.0000;0.0000;0.0000;
"/FT601_OE";"Default";27.2917;0;0.0000;27.2917;0.0000;2;27.2917;0.0000;0.0000;0.0000;
"/FT601_RD";"Default";27.1292;0;0.0000;27.1292;0.0000;2;27.1292;0.0000;0.0000;0.0000;
"/FT601_WR";"Default";26.8917;0;0.0000;26.8917;0.0000;2;26.8917;0.0000;0.0000;0.0000;
"/D8_RECONFIG";"Default";3.2897;1;0.0000;3.2897;0.0000;1;3.2897;0.0000;0.0000;0.0000;
"/FT601_SIWU";"Default";26.6917;0;0.0000;26.6917;0.0000;2;26.6917;0.0000;0.0000;0.0000;
"/FT601_D23";"Default";1.8453;0;0.0000;1.8453;0.0000;2;1.8453;0.0000;0.0000;0.0000;
"/FT601_D22";"Default";1.8453;0;0.0000;1.8453;0.0000;2;1.8453;0.0000;0.0000;0.0000;
"/FT601_D21";"Default";1.8453;0;0.0000;1.8453;0.0000;2;1.8453;0.0000;0.0000;0.0000;
"/FT601_D20";"Default";1.8453;0;0.0000;1.8453;0.0000;2;1.8453;0.0000;0.0000;0.0000;
"/FT601_D19";"Default";1.9696;0;0.0000;1.9696;0.0000;2;1.9696;0.0000;0.0000;0.0000;
"/FT601_D18";"Default";1.9696;0;0.0000;1.9696;0.0000;2;1.9696;0.0000;0.0000;0.0000;
"/FT601_D17";"Default";1.9696;0;0.0000;1.9696;0.0000;2;1.9696;0.0000;0.0000;0.0000;
"/FT601_D16";"Default";1.9696;0;0.0000;1.9696;0.0000;2;1.9696;0.0000;0.0000;0.0000;
